complex	name	genes	source
InfB_mono		CLJU_c13150(1)	iJL965-ME
RbfA_mono		CLJU_c13160(1)	iJL965-ME
InfC_mono		CLJU_c20760(1)	iJL965-ME
InfCII_mono		CLJU_c34460(1)	iJL965-ME
Map_mono		CLJU_c35780(1)	iJL965-ME
RimI_mono		CLJU_c38200(1)	iJL965-ME
InfA_mono		CLJU_c40820(1)	iJL965-ME
Tuf_mono		CLJU_c41060(1)	iJL965-ME
TufII_mono		CLJU_c41200(1)	iJL965-ME
FusA_mono		CLJU_c41070(1)	iJL965-ME
MnmEG_cplx		CLJU_c42910(2) AND CLJU_c42920(2)	iJL965-ME
Pps_dim	PPS	CLJU_c14340(2)	iJL965-ME
PpsII_dim	PPS	CLJU_c38600(2)	iJL965-ME
GreA_mono		CLJU_c26390(1)	iJL965-ME
GreAII_mono		CLJU_c35450(1)	iJL965-ME
GreAIII_mono		CLJU_c41490(1)	iJL965-ME
Tig_mono		CLJU_c35650(1)	iJL965-ME
Frr_mono		CLJU_c13050(1)	
RNase_Z		CLJU_c26640(2)	iJL965-ME
RNase_P		CLJU_c42960(1)	iJL965-ME
RpoD_mono		CLJU_c08220(1)	iJL965-ME
Hpr_dim	GLYCLTDx	CLJU_c11620(2)	iJL965-ME
CLJU_c21640_mono	PGLYCP	CLJU_c21640(1)	iJL965-ME
LplA_mono	LIPATPT	CLJU_c09210(1)	iJL965-ME
LplAII_mono	LIPATPT	CLJU_c33220(1)	iJL965-ME
MoaA_mono_MoaC_mono		CLJU_c33380(1) AND CLJU_c25050(1)	iJL965-ME
MobA_mono		CLJU_c21410(1)	iJL965-ME
MoeA_dim		CLJU_c07000(2)	iJL965-ME
MoeAII_dim		CLJU_c17110(2)	iJL965-ME
MoeAIII_dim		CLJU_c20170(2)	iJL965-ME
MoeAIV_dim		CLJU_c20180(2)	iJL965-ME
CLJU_c17950_mono	MPTAT	CLJU_c17950(1)	iJL965-ME
NfrA_dim		CLJU_c26350(2)	iJL965-ME
ACP_c	3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:1)	CLJU_c12820(1)	iJL965-ME
TrxA_mono		CLJU_c40500(1)	iJL965-ME
TrxAII_mono		CLJU_c27800(1)	iJL965-ME
TrxAIII_mono		CLJU_c27320(1)	iJL965-ME
NifU_dim		CLJU_c12120(2)	iJL965-ME
IscS_dim		CLJU_c12110(2)	iJL965-ME
SufBC_CPLX		CLJU_c26900(1) AND CLJU_c26910(1)	iJL965-ME
SufBCII_CPLX		CLJU_c37930(1) AND CLJU_c37940(1)	iJL965-ME
IscSII_dim		CLJU_c23390(1)	iJL965-ME
ErpA_dim		CLJU_c28340(2)	iJL965-ME
ECF_CPLX_QueT	CCGt	CLJU_c40730(1) AND CLJU_c40740(1) AND CLJU_c40750(1) AND CLJU_c18230(1)	iJL965-ME
Transcription_normal_rho_independent_I		CLJU_c41720(1) AND CLJU_c13120(1) AND CLJU_c41170(1) AND CLJU_c26390(1) AND CLJU_c12530(1)	iJL965-ME
Transcription_normal_rho_independent_II		CLJU_c41720(1) AND CLJU_c13120(1) AND CLJU_c41170(1) AND CLJU_c35450(1) AND CLJU_c12530(1)	iJL965-ME
Transcription_normal_rho_independent_III		CLJU_c41720(1) AND CLJU_c13120(1) AND CLJU_c41170(1) AND CLJU_c41490(1) AND CLJU_c12530(1)	iJL965-ME
Transcription_normal_rho_dependent_I		CLJU_c41720(1) AND CLJU_c13120(1) AND CLJU_c41170(1) AND CLJU_c26390(1) AND CLJU_c12530(1) AND CLJU_c02220(6)	iJL965-ME
Transcription_normal_rho_dependent_II		CLJU_c41720(1) AND CLJU_c13120(1) AND CLJU_c41170(1) AND CLJU_c35450(1) AND CLJU_c12530(1) AND CLJU_c02220(6)	iJL965-ME
Transcription_normal_rho_dependent_III		CLJU_c41720(1) AND CLJU_c13120(1) AND CLJU_c41170(1) AND CLJU_c41490(1) AND CLJU_c12530(1) AND CLJU_c02220(6)	iJL965-ME
Transcription_stable_rho_independent_I		CLJU_c41720(1) AND CLJU_c13120(1) AND CLJU_c41170(1) AND CLJU_c26390(1) AND CLJU_c12530(1) AND CLJU_c41050(1) AND CLJU_c40780(1) AND CLJU_c41040(1) AND CLJU_c41030(1) AND CLJU_c40710(1) AND CLJU_c11120(1)	iJL965-ME
Transcription_stable_rho_independent_II		CLJU_c41720(1) AND CLJU_c13120(1) AND CLJU_c41170(1) AND CLJU_c35450(1) AND CLJU_c12530(1) AND CLJU_c41050(1) AND CLJU_c40780(1) AND CLJU_c41040(1) AND CLJU_c41030(1) AND CLJU_c40710(1) AND CLJU_c11120(1)	iJL965-ME
Transcription_stable_rho_independent_III		CLJU_c41720(1) AND CLJU_c13120(1) AND CLJU_c41170(1) AND CLJU_c41490(1) AND CLJU_c12530(1) AND CLJU_c41050(1) AND CLJU_c40780(1) AND CLJU_c41040(1) AND CLJU_c41030(1) AND CLJU_c40710(1) AND CLJU_c11120(1)	iJL965-ME
Transcription_stable_rho_dependent_I		CLJU_c41720(1) AND CLJU_c13120(1) AND CLJU_c41170(1) AND CLJU_c26390(1) AND CLJU_c12530(1) AND CLJU_c41050(1) AND CLJU_c40780(1) AND CLJU_c41040(1) AND CLJU_c41030(1) AND CLJU_c40710(1) AND CLJU_c11120(1) AND CLJU_c02220(6)	iJL965-ME
Transcription_stable_rho_dependent_II		CLJU_c41720(1) AND CLJU_c13120(1) AND CLJU_c41170(1) AND CLJU_c35450(1) AND CLJU_c12530(1) AND CLJU_c41050(1) AND CLJU_c40780(1) AND CLJU_c41040(1) AND CLJU_c41030(1) AND CLJU_c40710(1) AND CLJU_c11120(1) AND CLJU_c02220(6)	iJL965-ME
Transcription_stable_rho_dependent_III		CLJU_c41720(1) AND CLJU_c13120(1) AND CLJU_c41170(1) AND CLJU_c41490(1) AND CLJU_c12530(1) AND CLJU_c41050(1) AND CLJU_c40780(1) AND CLJU_c41040(1) AND CLJU_c41030(1) AND CLJU_c40710(1) AND CLJU_c11120(1) AND CLJU_c02220(6)	iJL965-ME
YgeX_dim		CLJU_c23860(2)	iJL965-ME
CysK_mono		CLJU_c08270(1)	iJL965-ME
CLJU_c18870_mono	THRt2	CLJU_c18870(1)	iJL965-ME
ThiN_mono	TMDPK	CLJU_c12650(1)	iJL965-ME
Ca2_ATP	calcium transport via ABC system	CLJU_c06890(1)	iJL965-ME
Ca2_ATPII	calcium transport via ABC system	CLJU_c07870(1)	iJL965-ME
Ca2_ATPIII	calcium transport via ABC system	CLJU_c10480(1)	iJL965-ME
NiAB_CPLX	nickel transport via ABC system	CLJU_c22600(2) AND CLJU_c22540(1)	iJL965-ME
NiMNQ_CbiO_CPLX	nickel transport via ABC system	CLJU_c32040(1) AND CLJU_c33200(1) AND CLJU_c32030(1)	iJL965-ME
CbiMOQ_CPLX	Cobalt transport via ABC system	CLJU_c32030(1) AND CLJU_c22230(1) AND CLJU_c28600(1)	iJL965-ME
PanF_mono	PNTOt	CLJU_c32870(1)	iJL965-ME
PDX5PO_CPLX		CLJU_c37110(1)	iJL965-ME
CopA_mono	Copper transport via ABC system	CLJU_c24900(1)	iJL965-ME
ZupT_mono	ZN2t	CLJU_c02280(1)	iJL965-ME
GLCt_mono	D-glucose transport in via proton symport	CLJU_c23180(1)	iJL965-ME
Gln_CPLX	L-glutamine transport via ABC system	CLJU_c06680(1) AND CLJU_c06690(1)	iJL965-ME
MetNIQ_CPLX	METabc	CLJU_c06280(1) AND CLJU_c06290(1) AND CLJU_c06300(1)	iJL965-ME
PduX_mono	LTHRK	CLJU_c31830(1)	iJL965-ME
Fdx		CLJU_c00930(1)	iJL965-ME
FdxII		CLJU_c01440(1)	iJL965-ME
FdxIII		CLJU_c01820(1)	iJL965-ME
FdxIV		CLJU_c17980(1)	iJL965-ME
Mop_mono		CLJU_c24050(1)	iJL965-ME
MopII_mono		CLJU_c24130(1)	iJL965-ME
CLJU_c24250_mono	L-tryptophan reversible transport via proton symport	CLJU_c24250(1)	iJL965-ME
AcsCD_CPLX		CLJU_c37370(1) AND CLJU_c37580(1)	iJL965-ME
CPLX-271	Methyltetrahydrofolate:corrinoid/iron-sulfur protein methyltransferase (MeTr)	CLJU_c37560(1)	iJL965-ME
