Gene Name,Accession-1,Left-End-Position,Right-End-Position,Product,Interrupted?,"Gene products (complexes, polypeptides, and RNAs)",replicon
EG12271,b3552,3714569,3715229,EG12271-MONOMER,,EG12271-MONOMER,NC_000913.2
G6802,b1515,1602070,1603063,G6802-MONOMER,,ABC-58-CPLX,NC_000913.2
EG11908,b3949,4140552,4141632,EG11908-MONOMER,,CPLX-160,NC_000913.2
G7252,b2390,2509022,2509349,G7252-MONOMER,,G7252-MONOMER,NC_000913.2
EG10629,b0543,567537,567870,EG10629-MONOMER,,CPLX0-7963,NC_000913.2
EG12770,b3139,3282706,3283510,EG12770-MONOMER,,CPLX-170,NC_000913.2
EG12027,b2158,2247738,2248788,EG12027-MONOMER,,EG12027-MONOMER,NC_000913.2
G6575,b1118,1176542,1177787,G6575-MONOMER,,ABC-62-CPLX,NC_000913.2
EG11863,b3899,4088937,4090389,EG11863-MONOMER,,CPLX-159,NC_000913.2
G7122,b2085,2166012,2166330,G7122-MONOMER,,G7122-MONOMER,NC_000913.2
EG10568,b1818,1901105,1901906,EG10568-MONOMER,,CPLX-165,NC_000913.2
EG12554,b4302,4525571,4526003,EG12554-MONOMER,,EIISGC,NC_000913.2
EG11760,b1457,1527945,1528428,EG11760-MONOMER,,EG11760-MONOMER,NC_000913.2
G6462,b0879,919569,921516,G6462-MONOMER,,TRANS-200-CPLX,NC_000913.2
EG11710,b3683,3860009,3861626,EG11710-MONOMER,,GLVC-MONOMER,NC_000913.2
G6953,b1758,1838806,1839427,G6953-MONOMER,,G6953-MONOMER,NC_000913.2
EG10479,b2720,2842231,2842774,EG10479-MONOMER,,FHLMULTI-CPLX,NC_000913.2
G7856,b4193,4418002,4419400,G7856-MONOMER,,EIISGA,NC_000913.2
EG11462,b4482,3998314,3999079,EG11462-MONOMER,,EG11462-MONOMER,NC_000913.2
G6345,b0619,651457,653116,G6345-MONOMER,,PHOSPHO-DPIB,NC_000913.2
G7632,b3133,3278238,3278712,G7632-MONOMER,,CPLX0-7610,NC_000913.2
G6816,b1542,1627476,1628937,G6816-MONOMER,,G6816-MONOMER,NC_000913.2
EG10059,b4460,1980577,1981564,EG10059-MONOMER,,ABC-2-CPLX,NC_000913.2
EG12322,b0129,144576,145017,EG12322-MONOMER,,AGAX-MONOMER,NC_000913.2
EG11059,b2319,2433657,2434671,EG11059-MONOMER,,EG11059-MONOMER,NC_000913.2
EG10352,b2801,2932256,2933573,EG10352-MONOMER,,FUCP-MONOMER,NC_000913.2
EG12556,b4304,4526952,4528266,EG12556-MONOMER,,EIISGC,NC_000913.2
G6703,b1381,1441074,1443714,G6703-MONOMER,,G6703-MONOMER,NC_000913.2
G6093,b0177,197927,200360,G6093-MONOMER,,CPLX0-3933,NC_000913.2
EG11791,b2934,3076908,3077352,EG11791-MONOMER,,CPLX-156,NC_000913.2
G6578,b1121,1179701,1180490,G6578-MONOMER,,G6578-MONOMER,NC_000913.2
EG10269,b3404,3532537,3533890,EG10269-MONOMER,,ENVZ-CPLX,NC_000913.2
EG12494,b4194,4419415,4419721,EG12494-MONOMER,,EIISGA,NC_000913.2
G6402,b0780,814961,815870,G6402-MONOMER,,G6402-MONOMER,NC_000913.2
EG13159,b2406,2520750,2522007,EG13159-MONOMER,,XAPB-MONOMER,NC_000913.2
G7250,b2387,2505937,2506264,G7250-MONOMER,,CPLX0-8119,NC_000913.2
G6159,b0288,303076,303406,G6159-MONOMER,,G6159-MONOMER,NC_000913.2
EG10180,b0430,447269,447884,EG10180-MONOMER,,CYT-O-UBIOX-CPLX,NC_000913.2
G0-10241,b4565,4528277,4528556,G0-10241-MONOMER,,EIISGC,NC_000913.2
EG12662,b0653,684477,685152,EG12662-MONOMER,,ABC-13-CPLX,NC_000913.2
EG12769,b3138,3282191,3282668,EG12769-MONOMER,,CPLX-170,NC_000913.2
EG10112,b0314,328686,330720,EG10112-MONOMER,,BETT-MONOMER,NC_000913.2
EG11792,b2933,3075492,3076881,EG11792-MONOMER,,CPLX-156,NC_000913.2
EG12475,b4156,4381861,4383364,EG12475-MONOMER,,YJEM-MONOMER,NC_000913.2
EG12495,b4195,4419730,4420195,EG12495-MONOMER,,EIISGA,NC_000913.2
G7926,b4329,4557561,4558023,G7926-MONOMER,,G7926-MONOMER,NC_000913.2
EG12282,b3578,3742826,3744104,EG12282-MONOMER,,TRANS-CPLX-203,NC_000913.2
EG11709,b3682,0,486,EG11709-MONOMER,,GLVB-MONOMER,b3682
EG12178,b4136,4361367,4363065,EG12178-MONOMER,,DSBD-MONOMER,NC_000913.2
G7635,b3140,3283499,3284291,G7635-MONOMER,,CPLX-170,NC_000913.2
G7730,b3378,3505369,3505723,G7730-MONOMER,,G7730-MONOMER,NC_000913.2
EG12095,b3175,3320194,3320527,EG12095-MONOMER,,SEC-SECRETION-CPLX,NC_000913.2
EG11403,b2502,2623136,2624678,EG11403-MONOMER,,PPX-CPLX,NC_000913.2
G0-10605,b4615,3767367,3767806,G0-10605-MONOMER,,MONOMER0-2827,NC_000913.2
EG12038,b2178,2272200,2273295,EG12038-MONOMER,,ABC-41-CPLX,NC_000913.2
EG10725,b4092,4312366,4313125,EG10725-MONOMER,,CPLX0-7936,NC_000913.2
G7588,b3050,3190229,3190859,G7588-MONOMER,,G7588-MONOMER,NC_000913.2
EG11939,b4064,4276501,4277851,EG11939-MONOMER,,EG11939-MONOMER,NC_000913.2
EG11048,b3450,3586132,3587203,EG11048-MONOMER,,ABC-34-CPLX,NC_000913.2
G0-10464,b4548,2774898,2775099,G0-10464-MONOMER,,MONOMER0-2686,NC_000913.2
EG11824,b3009,3151584,3152244,EG11824-MONOMER,,EG11824-MONOMER,NC_000913.2
EG10721,b4096,4315237,4315918,EG10721-MONOMER,,CPLX0-7958,NC_000913.2
G7491,b2872,3006785,3007997,G7491-MONOMER,,G7491-MONOMER,NC_000913.2
EG11704,b0462,480477,483627,EG11704-MONOMER,,TRANS-CPLX-201,NC_000913.2
EG10718,b4099,4317621,4318686,EG10718-MONOMER,,CPLX0-7935 // CPLX0-7958,NC_000913.2
EG12557,b4305,4528552,4529674,EG12557-MONOMER,,SGCB-MONOMER,NC_000913.2
EG11636,b1528,1615051,1616242,EG11636-MONOMER,,YDEA-MONOMER,NC_000913.2
EG10755,b4226,4447144,4447675,EG10755-MONOMER,,CPLX0-243,NC_000913.2
G7407,b2689,2814533,2814962,G7407-MONOMER,,G7407-MONOMER,NC_000913.2
EG11561,b0040,40416,41931,EG11561-MONOMER,,CPLX0-7906,NC_000913.2
EG10715,b4102,4319719,4320445,EG10715-MONOMER,,EG10715-MONOMER,NC_000913.2
EG12254,b3527,3678466,3679963,EG12254-MONOMER,,EG12254-MONOMER,NC_000913.2
EG11439,b2686,2810637,2812176,EG11439-MONOMER,,CPLX0-2121,NC_000913.2
EG10734,b3728,3908507,3909548,EG10734-MONOMER,,ABC-27-CPLX,NC_000913.2
G7215,b2345,2461033,2462092,G7215-MONOMER,,G7215-MONOMER,NC_000913.2
EG11337,b2156,2245084,2246554,EG11337-MONOMER,,LYSP-MONOMER,NC_000913.2
EG11510,b2501,2621065,2623132,EG11510-MONOMER,,CPLX0-2381,NC_000913.2
EG12003,b2122,2207121,2209122,EG12003-MONOMER,,EG12003-MONOMER,NC_000913.2
EG11215,b4363,4599646,4600120,EG11215-MONOMER,,EG11215-MONOMER,NC_000913.2
EG10727,b0383,400970,402386,EG10727-MONOMER,,ALKAPHOSPHA-CPLX,NC_000913.2
G7062,b1974,2040391,2040922,G7062-MONOMER,,G7062-MONOMER,NC_000913.2
G7507,b2888,3029388,3030837,G7507-MONOMER,,YGFU-MONOMER,NC_000913.2
EG10719,b4098,4316783,4317629,EG10719-MONOMER,,CPLX0-7935,NC_000913.2
EG11697,b3677,3854437,3854887,EG11697-MONOMER,,EG11697-MONOMER,NC_000913.2
EG11049,b3451,3587204,3588050,EG11049-MONOMER,,ABC-34-CPLX,NC_000913.2
EG10716,b4101,4319266,4319719,EG10716-MONOMER,,CPLX0-7935 // CPLX0-7958,NC_000913.2
G6935,b1730,1810352,1811156,G6935-MONOMER,,G6935-MONOMER,NC_000913.2
G7301,b2484,2602832,2604272,G7301-MONOMER,,CPLX0-250,NC_000913.2
EG10735,b3724,3904875,3905601,EG10735-MONOMER,,CPLX0-8113,NC_000913.2
EG11342,b1242,1297820,1298468,EG11342-MONOMER,,EG11342-MONOMER,NC_000913.2
EG10940,b0409,428728,429700,EG10940-MONOMER,,SEC-SECRETION-CPLX,NC_000913.2
EG10728,b0399,416365,417055,EG10728-MONOMER,,PHOSPHO-PHOB,NC_000913.2
G6792,b1502,1584843,1585758,G6792-MONOMER,,G6792-MONOMER,NC_000913.2
EG10934,b0722,754782,755130,EG10934-MONOMER,,CPLX0-8160,NC_000913.2
EG11401,b0384,402504,402825,EG11401-MONOMER,,EG11401-MONOMER,NC_000913.2
EG10434,b3802,3984708,3985905,EG10434-MONOMER,,EG10434-MONOMER,NC_000913.2
G7067,b1981,2051666,2052983,G7067-MONOMER,,SHIA-MONOMER,NC_000913.2
EG10723,b4094,4313547,4314105,EG10723-MONOMER,,EG10723-MONOMER,NC_000913.2
G6659,b1321,1382140,1383538,G6659-MONOMER,,G6659-MONOMER,NC_000913.2
EG10754,b0871,908553,910272,EG10754-MONOMER,,PYRUVOXID-CPLX,NC_000913.2
EG11047,b3453,3589031,3590348,EG11047-MONOMER,,ABC-34-CPLX,NC_000913.2
G6536,b1029,1095065,1096052,G6536-MONOMER,,G6536-MONOMER,NC_000913.2
G6877,b1634,1710792,1712295,G6877-MONOMER,,B1634-MONOMER,NC_000913.2
EG10720,b4097,4316028,4316787,EG10720-MONOMER,,PHNK-MONOMER,NC_000913.2
G6335,b0608,641310,642549,G6335-MONOMER,,G6335-MONOMER,NC_000913.2
G6786,b1492,1566977,1568513,G6786-MONOMER,,XASA-MONOMER,NC_000913.2
EG10783,b3725,3905615,3906389,EG10783-MONOMER,,ABC-27-CPLX,NC_000913.2
G6107,b0223,244326,245094,G6107-MONOMER,,G6107-MONOMER,NC_000913.2
EG10615,b3599,3770303,3772217,EG10615-MONOMER,,CPLX-166,NC_000913.2
EG10717,b4100,4318685,4319270,EG10717-MONOMER,,CPLX0-7935 // CPLX0-7958,NC_000913.2
G6561,b1069,1127061,1128597,G6561-MONOMER,,G6561-MONOMER,NC_000913.2
G6478,b0936,995207,996167,G6478-MONOMER,,ABC-56-CPLX,NC_000913.2
EG10555,b4033,4241553,4243098,EG10555-MONOMER,,ABC-16-CPLX,NC_000913.2
EG10738,b3821,4002884,4003754,EG10738-MONOMER,,CPLX0-7944,NC_000913.2
G6440,b0842,882895,884128,G6440-MONOMER,,CMR-MONOMER,NC_000913.2
G6479,b0937,996159,996735,G6479-MONOMER,,CPLX0-224,NC_000913.2
EG10470,b0974,1034288,1034996,EG10470-MONOMER,,CPLX0-8167,NC_000913.2
EG10191,b2764,2888120,2889920,EG10191-MONOMER,,SULFITE-REDUCT-CPLX,NC_000913.2
G7886,b4256,4477056,4477560,G7886-MONOMER,,G7886-MONOMER,NC_000913.2
G6320,b0572,594822,596196,G6320-MONOMER,,CPLX0-1721,NC_000913.2
EG12358,b0933,992499,993267,EG12358-MONOMER,,ABC-56-CPLX,NC_000913.2
G0-16674,b4688,289652,289857,G0-16674-MONOMER,,MONOMER0-4436,NC_000913.2
EG10014,b2470,2585616,2588730,EG10014-MONOMER,,CPLX0-3932,NC_000913.2
EG10186,b2752,2873442,2874351,EG10186-MONOMER,,SULFATE-ADENYLYLTRANS-CPLX,NC_000913.2
G7695,b3267,3416411,3416633,G7695-MONOMER,,G7695-MONOMER,NC_000913.2
G2001,b1293,1352528,1353494,G2001-MONOMER,,ABC-29-CPLX,NC_000913.2
EG11705,b3678,3854933,3856427,EG11705-MONOMER,,EG11705-MONOMER,NC_000913.2
EG10263,b0594,625292,626903,EG10263-MONOMER,,ENTMULTI-CPLX,NC_000913.2
EG10089,b3801,3982374,3984030,EG10089-MONOMER,,ARYLSULFAT-MONOMER,NC_000913.2
G7552,b2986,3132152,3132845,G7552-MONOMER,,G7552-MONOMER,NC_000913.2
EG12853,b1336,1398270,1399797,EG12853-MONOMER,,ABGT-MONOMER,NC_000913.2
G6952,b1757,1837490,1838798,G6952-MONOMER,,G6952-MONOMER,NC_000913.2
G0-10456,b4538,2076769,2076955,G0-10456-MONOMER,,MONOMER0-2678,NC_000913.2
EG10177,b0341,359215,360370,EG10177-MONOMER,,CYNX-MONOMER,NC_000913.2
G6788,b1498,1578865,1580548,G6788-MONOMER,,G6788-MONOMER,NC_000913.2
G7473,b2853,2991659,2991878,G7473-MONOMER,,G7473-MONOMER,NC_000913.2
EG12626,b3542,3701881,3702784,EG12626-MONOMER,,ABC-8-CPLX,NC_000913.2
EG10194,b2751,2872013,2873441,EG10194-MONOMER,,SULFATE-ADENYLYLTRANS-CPLX,NC_000913.2
EG12405,b1220,1273006,1274401,EG12405-MONOMER,,EG12405-MONOMER,NC_000913.2
EG10105,b3735,3917892,3918426,EG10105-MONOMER,,ATPSYN-CPLX,NC_000913.2
EG10189,b2762,2885599,2886334,EG10189-MONOMER,,PAPSSULFOTRANS-CPLX,NC_000913.2
G7343,b2549,2677485,2680767,G7343-MONOMER,,G7343-MONOMER,NC_000913.2
EG12442,b4461,2746795,2748082,EG12442-MONOMER,,G7356-MONOMER,NC_000913.2
EG11955,b4083,4302634,4304620,EG11955-MONOMER,,EG11955-MONOMER,NC_000913.2
EG12213,b3467,3603273,3603633,EG12213-MONOMER,,EG12213-MONOMER,NC_000913.2
EG12268,b3547,3708821,3710030,EG12268-MONOMER,,YHJX-MONOMER,NC_000913.2
EG10183,b2422,2537738,2538836,EG10183-MONOMER,,ABC-70-CPLX // ABC-7-CPLX,NC_000913.2
G7182,b2275,2387137,2387986,G7182-MONOMER,,G7182-MONOMER,NC_000913.2
EG12166,b0920,971844,972624,EG12166-MONOMER,,EG12166-MONOMER,NC_000913.2
G7038,b1919,1996517,1997504,G7038-MONOMER,,DCYSDESULF-CPLX,NC_000913.2
EG11984,b2033,2102517,2103108,EG11984-MONOMER,,EG11984-MONOMER,NC_000913.2
EG12091,b2279,2393064,2393367,EG12091-MONOMER,,NADH-DHI-CPLX,NC_000913.2
EG10395,b3425,3559519,3559846,EG10395-MONOMER,,CPLX0-242,NC_000913.2
G7036,b1906,1987274,1987514,G7036-MONOMER,,G7036-MONOMER,NC_000913.2
EG12029,b2161,2250916,2252167,EG12029-MONOMER,,YEIJ-MONOMER,NC_000913.2
EG10195,b2425,2540533,2541550,EG10195-MONOMER,,ABC-7-CPLX,NC_000913.2
EG11677,b0760,791538,793011,EG11677-MONOMER,,MODF-MONOMER,NC_000913.2
EG11896,b2014,2083727,2085086,EG11896-MONOMER,,YEEF-MONOMER,NC_000913.2
G6477,b0935,994065,995211,G6477-MONOMER,,CPLX0-225,NC_000913.2
G6913,b1687,1763652,1766709,G6913-MONOMER,,G6913-MONOMER,NC_000913.2
EG11800,b2995,3141007,3142186,EG11800-MONOMER,,FORMHYDROG2-CPLX,NC_000913.2
EG10190,b2763,2886408,2888121,EG10190-MONOMER,,SULFITE-REDUCT-CPLX,NC_000913.2
EG11219,b1419,1489700,1489874,EG11219-MONOMER,,EG11219-MONOMER,NC_000913.2
EG11693,b3673,3851944,3853129,EG11693-MONOMER,,EMRD-MONOMER,NC_000913.2
G7455,b2811,2942563,2943007,G7455-MONOMER,,CPLX0-7839,NC_000913.2
G6766,b1455,1524963,1525176,G6766-MONOMER,,G6766-MONOMER,NC_000913.2
EG11627,b0861,900088,900757,EG11627-MONOMER,,CPLX0-8120 // ABC-4-CPLX,NC_000913.2
EG10185,b2750,2871408,2872014,EG10185-MONOMER,,ADENYLYLSULFKIN-CPLX,NC_000913.2
EG10047,b0050,51228,51606,EG10047-MONOMER,,EG10047-MONOMER,NC_000913.2
EG11409,b0915,967588,968575,EG11409-MONOMER,,TETRAACYLDISACC4KIN-MONOMER,NC_000913.2
G7071,b1987,2057987,2058938,G7071-MONOMER,,MONOMER-2720,NC_000913.2
G6636,b1268,1322769,1324665,G6636-MONOMER,,G6636-MONOMER,NC_000913.2
G7946,b4364,4600110,4600881,G7946-MONOMER,,G7946-MONOMER,NC_000913.2
EG11601,b2522,2652178,2652955,EG11601-MONOMER,,EG11601-MONOMER,NC_000913.2
G6510,b0989,1050185,1050398,G6510-MONOMER,,G6510-MONOMER,NC_000913.2
EG11313,b3907,4097513,4098548,EG11313-MONOMER,,RHAT-MONOMER,NC_000913.2
EG10929,b3917,4106856,4107846,EG10929-MONOMER,,ABC-70-CPLX,NC_000913.2
G6229,b0380,398816,399029,G6229-MONOMER,,G6229-MONOMER,NC_000913.2
EG11186,b3562,3724946,3725384,EG11186-MONOMER,,EG11186-MONOMER,NC_000913.2
G6906,b1680,1757326,1758547,G6906-MONOMER,,CPLX0-246,NC_000913.2
G6095,b0187,211876,212266,G6095-MONOMER,,G6095-MONOMER,NC_000913.2
G7447,b2789,2918769,2920122,G7447-MONOMER,,B2789-MONOMER,NC_000913.2
EG12345,b1539,1625540,1626287,EG12345-MONOMER,,CPLX0-1962,NC_000913.2
EG10931,b0723,755129,756896,EG10931-MONOMER,,CPLX0-8160,NC_000913.2
G6522,b1011,1071393,1072086,G6522-MONOMER,,G6522-MONOMER,NC_000913.2
EG10750,b1125,1182839,1183667,EG10750-MONOMER,,ABC-24-CPLX,NC_000913.2
G6519,b1008,1069587,1070178,G6519-MONOMER,,G6519-MONOMER,NC_000913.2
G6874,b1630,1707165,1708224,G6874-MONOMER,,G6874-MONOMER,NC_000913.2
G7596,b3073,3217515,3218895,G7596-MONOMER,,CPLX0-8159,NC_000913.2
EG10669,b0957,1018235,1019276,EG10669-MONOMER,,EG10669-MONOMER,NC_000913.2
EG10403,b3212,3352746,3357207,EG10403-MONOMER,,GLUTAMATESYN-CPLX,NC_000913.2
G7879,b4248,4470836,4471232,G7879-MONOMER,,G7879-MONOMER,NC_000913.2
G6764,b1453,1522504,1524004,G6764-MONOMER,,ANSP-MONOMER,NC_000913.2
G6944,b1748,1828785,1830006,G6944-MONOMER,,SUCCORNTRANSAM-CPLX,NC_000913.2
G0-10654,b4671,312364,312466,G0-10654-MONOMER,,MONOMER0-2881,NC_000913.2
EG10610,b3249,3396408,3396897,EG10610-MONOMER,,EG10610-MONOMER,NC_000913.2
G6523,b1012,1072085,1073234,G6523-MONOMER,,G6523-MONOMER,NC_000913.2
G7673,b3219,3364947,3365664,G7673-MONOMER,,G7673-MONOMER,NC_000913.2
G6544,b1038,1100933,1101350,G6544-MONOMER,,CPLX-3945,NC_000913.2
EG12188,b2829,2964209,2966456,EG12188-MONOMER,,MONOMER0-4291,NC_000913.2
G0-10590,b4594,1222486,1222672,G0-10590-MONOMER,,MONOMER0-2819,NC_000913.2
EG10541,b3456,3592225,3593503,EG10541-MONOMER,,ABC-304-CPLX // ABC-15-CPLX,NC_000913.2
G6520,b1009,1070187,1070988,G6520-MONOMER,,CPLX0-8303,NC_000913.2
G7538,b2971,3111088,3111499,G7538-MONOMER,,G7538-MONOMER,NC_000913.2
G6418,b0815,850236,851820,G6418-MONOMER,,G6418-MONOMER,NC_000913.2
EG11411,b0167,185977,188650,EG11411-MONOMER,,GLND-MONOMER,NC_000913.2
G0-10432,b4504,263249,263471,G0-10432-MONOMER,,MONOMER0-2654,NC_000913.2
EG10406,b3653,3825482,3826688,EG10406-MONOMER,,GLTS-MONOMER,NC_000913.2
G6457,b0873,911384,913037,G6457-MONOMER,,G6457-MONOMER,NC_000913.2
G7462,b2834,2969618,2970659,G7462-MONOMER,,G7462-MONOMER,NC_000913.2
G6265,b0489,514079,514997,G6265-MONOMER,,G6265-MONOMER,NC_000913.2
EG10724,b4093,4313126,4313561,EG10724-MONOMER,,EG10724-MONOMER,NC_000913.2
EG12372,b2798,2929076,2929832,EG12372-MONOMER,,EG12372-MONOMER,NC_000913.2
EG10007,b2307,2422538,2423255,EG10007-MONOMER,,ABC-3-CPLX // ABC-14-CPLX,NC_000913.2
EG10404,b3213,3357219,3358638,EG10404-MONOMER,,GLUTAMATESYN-CPLX,NC_000913.2
G7328,b2534,2662411,2663266,G7328-MONOMER,,G7328-MONOMER,NC_000913.2
EG10333,b4151,4377029,4377389,EG10333-MONOMER,,FUMARATE-REDUCTASE,NC_000913.2
G7072,b1988,2059039,2059957,G7072-MONOMER,,G7072-MONOMER,NC_000913.2
EG12138,b0193,216178,217003,EG12138-MONOMER,,EG12138-MONOMER,NC_000913.2
G0-8892,b4599,1620669,1620765,G0-8892-MONOMER,,MONOMER0-766,NC_000913.2
EG12409,b2468,2581567,2583547,EG12409-MONOMER,,EG12409-MONOMER,NC_000913.2
G7178,b2271,2383881,2384853,G7178-MONOMER,,G7178-MONOMER,NC_000913.2
EG10250,b2365,2475868,2477206,EG10250-MONOMER,,DSDX-MONOMER,NC_000913.2
EG10383,b3870,4054647,4056057,EG10383-MONOMER,,ADENYLYL-GS,NC_000913.2
EG11875,b3921,4110337,4110778,EG11875-MONOMER,,EG11875-MONOMER,NC_000913.2
EG12802,b3196,3338296,3339274,EG12802-MONOMER,,YRBG-MONOMER,NC_000913.2
G6755,b1444,1513601,1515026,G6755-MONOMER,,CPLX0-3641,NC_000913.2
G7010,b1837,1920144,1920336,G7010-MONOMER,,G7010-MONOMER,NC_000913.2
EG10169,b2313,2428296,2428785,EG10169-MONOMER,,EG10169-MONOMER,NC_000913.2
EG12191,b0450,471821,472160,EG12191-MONOMER,,URIDYLYL-PII2,NC_000913.2
EG11580,b0800,834470,835433,EG11580-MONOMER,,CPLX0-8184,NC_000913.2
EG12591,b4359,4595172,4597464,EG12591-MONOMER,,PGLYCEROLTRANSII-MONOMER,NC_000913.2
G6521,b1010,1070995,1071382,G6521-MONOMER,,CPLX0-8589,NC_000913.2
G6901,b1673,1749751,1751854,G6901-MONOMER,,G6901-MONOMER,NC_000913.2
EG10102,b3737,3918972,3919212,EG10102-MONOMER,,ATPSYN-CPLX,NC_000913.2
EG11602,b3053,3194822,3197663,EG11602-MONOMER,,GLNE-MONOMER,NC_000913.2
EG11154,b2823,2960462,2960786,EG11154-MONOMER,,EG11154-MONOMER,NC_000913.2
EG12414,b2094,2172618,2173071,EG12414-MONOMER,,CPLX0-231,NC_000913.2
G6518,b1007,1069082,1069577,G6518-MONOMER,,G6518-MONOMER,NC_000913.2
G6747,b1436,1506857,1507088,G6747-MONOMER,,G6747-MONOMER,NC_000913.2
EG12241,b3514,3658436,3661550,EG12241-MONOMER,,TRANS-CPLX-204,NC_000913.2
G7506,b2887,3027033,3028953,G7506-MONOMER,,G7506-MONOMER,NC_000913.2
G6617,b1180,1227301,1227961,G6617-MONOMER,,G6617-MONOMER,NC_000913.2
EG12142,b2796,2926250,2927540,EG12142-MONOMER,,SDAC-MONOMER,NC_000913.2
G6943,b1747,1827754,1828789,G6943-MONOMER,,ARGSUCCTRAN-MONOMER,NC_000913.2
G6459,b0876,915695,917354,G6459-MONOMER,,G6459-MONOMER,NC_000913.2
EG12082,b2288,2402650,2403094,EG12082-MONOMER,,NADH-DHI-CPLX,NC_000913.2
EG10930,b1814,1894955,1896320,EG10930-MONOMER,,LSERINEDEAM1-MONOMER,NC_000913.2
G6189,b0324,340348,341731,G6189-MONOMER,,G6189-MONOMER,NC_000913.2
EG12009,b2128,2213766,2214498,EG12009-MONOMER,,ABC-40-CPLX,NC_000913.2
EG10046,b2957,3097703,3098750,EG10046-MONOMER,,ANSB-CPLX,NC_000913.2
G0-9981,b4613,3645727,3645856,G0-9981-MONOMER,,MONOMER0-1941,NC_000913.2
EG11883,b1429,1498596,1499589,EG11883-MONOMER,,TEHA-MONOMER,NC_000913.2
G6940,b1744,1823978,1824947,G6940-MONOMER,,SUCCGLUDESUCC-MONOMER,NC_000913.2
EG11767,b3485,3623701,3624826,EG11767-MONOMER,,YHHJ-MONOMER,NC_000913.2
G2002,b1294,1353490,1355134,G2002-MONOMER,,SAPA-MONOMER,NC_000913.2
EG11688,b3660,3836270,3837194,EG11688-MONOMER,,EG11688-MONOMER,NC_000913.2
EG11408,b1190,1238101,1239172,EG11408-MONOMER,,CPLX0-7465,NC_000913.2
EG11617,b2078,2160899,2162303,EG11617-MONOMER,,PHOSPHO-BAES,NC_000913.2
EG10537,b3455,3591461,3592229,EG10537-MONOMER,,ABC-304-CPLX // ABC-15-CPLX,NC_000913.2
EG11392,b1186,1232398,1233940,EG11392-MONOMER,,NHAB-MONOMER,NC_000913.2
EG12407,b0828,865790,866756,EG12407-MONOMER,,CPLX0-263,NC_000913.2
G7829,b4127,4350107,4350380,G7829-MONOMER,,G7829-MONOMER,NC_000913.2
G7889,b4262,4485340,4486423,G7889-MONOMER,,CPLX0-7992,NC_000913.2
EG10992,b3119,3265401,3265620,EG10992-MONOMER,,PD03292,NC_000913.2
G0-10646,b4674,1463188,1463254,G0-10646-MONOMER,,MONOMER0-2873,NC_000913.2
EG11282,b2482,2599839,2601858,EG11282-MONOMER,,CPLX0-250,NC_000913.2
EG10248,b3544,3704120,3705728,EG10248-MONOMER,,ABC-8-CPLX,NC_000913.2
G7654,b3160,3301469,3302477,G7654-MONOMER,,G7654-MONOMER,NC_000913.2
G7618,b3104,3250932,3251289,G7618-MONOMER,,G7618-MONOMER,NC_000913.2
G7394,b2659,2787006,2787984,G7394-MONOMER,,CPLX0-8201,NC_000913.2
G0-10585,b4589,579473,579668,G0-10585-MONOMER,,MONOMER0-2814,NC_000913.2
EG11160,b2924,3066968,3067829,EG11160-MONOMER,,CPLX0-7626,NC_000913.2
EG12304,b1291,1350659,1351652,EG12304-MONOMER,,ABC-29-CPLX,NC_000913.2
G7527,b2951,3093119,3093824,G7527-MONOMER,,G7527-MONOMER,NC_000913.2
G7352,b2595,2734167,2734905,G7352-MONOMER,,CPLX0-3933,NC_000913.2
EG10964,b0693,717484,719683,EG10964-MONOMER,,ORNDECARBOXDEG-CPLX,NC_000913.2
EG12861,b1915,1993841,1994066,EG12861-MONOMER,,EG12861-MONOMER,NC_000913.2
G7243,b2380,2496692,2498390,G7243-MONOMER,,MONOMER0-4287,NC_000913.2
EG10092,b0674,696735,698400,EG10092-MONOMER,,ASNSYNB-CPLX,NC_000913.2
G7448,b2790,2920556,2921006,G7448-MONOMER,,G7448-MONOMER,NC_000913.2
EG10816,b3750,3933310,3934276,EG10816-MONOMER,,ABC-28-CPLX,NC_000913.2
G6941,b1745,1824939,1826283,G6941-MONOMER,,CPLX0-7947,NC_000913.2
EG12303,b1100,1155999,1156797,EG12303-MONOMER,,EG12303-MONOMER,NC_000913.2
G6999,b1821,1903711,1904278,G6999-MONOMER,,G6999-MONOMER,NC_000913.2
EG13161,b2364,2474715,2475651,EG13161-MONOMER,,CPLX0-7714,NC_000913.2
G7307,b2490,2609478,2609892,G7307-MONOMER,,G7307-MONOMER,NC_000913.2
EG10740,b4041,4252065,4254489,EG10740-MONOMER,,GLYCEROL-3-P-ACYLTRANSFER-MONOMER,NC_000913.2
EG11276,b3707,3886457,3886532,EG11276-MONOMER,,EG11276-MONOMER,NC_000913.2
EG12049,b2188,2282397,2284158,EG12049-MONOMER,,EG12049-MONOMER,NC_000913.2
G6871,b1627,1703790,1704372,G6871-MONOMER,,G6871-MONOMER,NC_000913.2
EG12627,b3541,3700887,3701871,EG12627-MONOMER,,ABC-8-CPLX,NC_000913.2
G7144,b2145,2231621,2231861,G7144-MONOMER,,G7144-MONOMER,NC_000913.2
EG10654,b3367,3495024,3495831,EG10654-MONOMER,,NIRC-MONOMER,NC_000913.2
EG10249,b2366,2477223,2478552,EG10249-MONOMER,,DSERDEAM-MONOMER,NC_000913.2
EG11812,b4186,4411050,4412214,EG11812-MONOMER,,EG11812-MONOMER,NC_000913.2
