Proteins	Genes of polypeptide, complex, or RNA	Common-Name	Locations
USA300HOU_RS07455-MONOMER	USA300HOU_RS07455	CCA tRNA nucleotidyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS04625-MONOMER	USA300HOU_RS04625	PG:teichoic acid D-alanyltransferase DltB	CCI-PM-BAC-POS-GP
CPLX2KSB-27	USA300HOU_RS11485 // USA300HOU_RS06080 // USA300HOU_RS12045 // USA300HOU_RS02850 // USA300HOU_RS02855	DNA-directed RNA polymerase	
USA300HOU_RS14100-MONOMER	USA300HOU_RS14100	L-lactate dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS00250-MONOMER	USA300HOU_RS00250	hypothetical protein	
USA300HOU_RS02965-MONOMER	USA300HOU_RS02965	glycosyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS01970-MONOMER	USA300HOU_RS01970	YxeA family protein	
USA300HOU_RS15980-MONOMER	USA300HOU_RS15980	hypothetical protein	
USA300HOU_RS03305-MONOMER	USA300HOU_RS03305	CHAP domain-containing protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS05970-MONOMER	USA300HOU_RS05970	YggS family pyridoxal phosphate-dependent enzyme	
USA300HOU_RS13230-MONOMER	USA300HOU_RS13230	serine hydrolase	CCI-PM-BAC-POS-GP
USA300HOU_RS15345-MONOMER	USA300HOU_RS15345	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS03435-MONOMER	USA300HOU_RS03435	metal-dependent transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS14440-MONOMER	USA300HOU_RS14440	hypothetical protein	
USA300HOU_RS03615-MONOMER	USA300HOU_RS03615	YebC/PmpR family DNA-binding transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS06930-MONOMER	USA300HOU_RS06930	peptide-methionine (S)-S-oxide reductase MsrA	
USA300HOU_RS08130-MONOMER	USA300HOU_RS08130	polyprenyl synthetase family protein	CCI-CYTOSOL-GP
USA300HOU_RS08645-MONOMER	USA300HOU_RS08645	hypothetical protein	
USA300HOU_RS11965-MONOMER	USA300HOU_RS11965	acetolactate synthase AlsS	CCI-PM-BAC-POS-GP
USA300HOU_RS01040-MONOMER	USA300HOU_RS01040	sce7725 family protein	
USA300HOU_RS13545-MONOMER	USA300HOU_RS13545	UTP--glucose-1-phosphate uridylyltransferase GalU	CCI-CYTOSOL-GP
USA300HOU_RS05810-MONOMER	USA300HOU_RS05810	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS04230-MONOMER	USA300HOU_RS04230	SsrA-binding protein SmpB	CCI-CYTOSOL-GP
CPLX2KSB-26	USA300HOU_RS04620 // USA300HOU_RS04630	D-alanine--poly(phosphoribitol) ligase	
USA300HOU_RS07125-MONOMER	USA300HOU_RS07125	alanine racemase	CCI-CYTOSOL-GP
USA300HOU_RS14110-MONOMER	USA300HOU_RS14110	amino acid permease	CCI-PM-BAC-POS-GP
USA300HOU_RS00255-MONOMER	USA300HOU_RS00255	hypothetical protein	
USA300HOU_RS07935-MONOMER	USA300HOU_RS07935	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS02420-MONOMER	USA300HOU_RS02420	YbaB/EbfC family nucleoid-associated protein	
CPLX2KSB-90	USA300HOU_RS02375 // USA300HOU_RS02380	glutamate synthase	
USA300HOU_RS08915-MONOMER	USA300HOU_RS08915	threonine--tRNA ligase	CCI-CYTOSOL-GP
USA300HOU_RS06600-MONOMER	USA300HOU_RS06600	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS02090-MONOMER	USA300HOU_RS02090	hypothetical protein	
USA300HOU_RS07320-MONOMER	USA300HOU_RS07320	queuosine precursor transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS06440-MONOMER	USA300HOU_RS06440	insulinase family protein	CCI-CYTOSOL-GP
USA300HOU_RS02165-MONOMER	USA300HOU_RS02165	hypothetical protein	
USA300HOU_RS14445-MONOMER	USA300HOU_RS14445	flavin reductase family protein	
USA300HOU_RS05265-MONOMER	USA300HOU_RS05265	cytochrome aa3 quinol oxidase subunit IV	
USA300HOU_RS12525-MONOMER	USA300HOU_RS12525	CPBP family intramembrane metalloprotease SdpB	CCI-PM-BAC-POS-GP
USA300HOU_RS07960-MONOMER	USA300HOU_RS07960	site-specific integrase	
USA300HOU_RS08650-MONOMER	USA300HOU_RS08650	CsbD family protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS03805-MONOMER	USA300HOU_RS03805	lipoteichoic acid-specific glycosylation protein CsbB	CCI-PM-BAC-POS-GP
USA300HOU_RS07460-MONOMER	USA300HOU_RS07460	N-acetyl-alpha-D-glucosaminyl L-malate synthase BshA	CCI-CYTOSOL-GP
USA300HOU_RS01810-MONOMER	USA300HOU_RS01810	hypothetical protein	
USA300HOU_RS01045-MONOMER	USA300HOU_RS01045	RES domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS12740-MONOMER	USA300HOU_RS12740	hypothetical protein	
USA300HOU_RS13550-MONOMER	USA300HOU_RS13550	fibronectin-binding protein FnbB	CCI-CW-BAC-POS-GP
USA300HOU_RS13025-MONOMER	USA300HOU_RS13025	DsbA family protein	CCI-CW-BAC-POS-GP
USA300HOU_RS04240-MONOMER	USA300HOU_RS04240	hypothetical protein	
CPLX2KSB-25	USA300HOU_RS06985 // USA300HOU_RS06990	tryptophan synthase	
USA300HOU_RS14115-MONOMER	USA300HOU_RS14115	aspartate aminotransferase family protein	CCI-CYTOSOL-GP
USA300HOU_RS01590-MONOMER	USA300HOU_RS01590	TIGR01741 family protein	
USA300HOU_RS09375-MONOMER	USA300HOU_RS09375	hypothetical protein	
USA300HOU_RS11515-MONOMER	USA300HOU_RS11515	M20 family metallopeptidase	CCI-CYTOSOL-GP
USA300HOU_RS02975-MONOMER	USA300HOU_RS02975	bacillithiol biosynthesis deacetylase BshB2	CCI-CYTOSOL-GP
USA300HOU_RS09305-MONOMER	USA300HOU_RS09305	YtxH domain-containing protein	
USA300HOU_RS09515-MONOMER	USA300HOU_RS09515	nucleoside triphosphatase YtkD	
USA300HOU_RS02315-MONOMER	USA300HOU_RS02315	cysteine synthase family protein	CCI-CYTOSOL-GP
USA300HOU_RS02425-MONOMER	USA300HOU_RS02425	recombination mediator RecR	CCI-CYTOSOL-GP
USA300HOU_RS13235-MONOMER	USA300HOU_RS13235	NAD(P)-dependent oxidoreductase	CCI-CYTOSOL-GP
USA300HOU_RS06935-MONOMER	USA300HOU_RS06935	LCP family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS05270-MONOMER	USA300HOU_RS05270	cytochrome aa3 quinol oxidase subunit III	CCI-PM-BAC-POS-GP
USA300HOU_RS06070-MONOMER	USA300HOU_RS06070	NFACT family protein	CCI-CYTOSOL-GP
USA300HOU_RS10270-MONOMER	USA300HOU_RS10270	lipid II isoglutaminyl synthase subunit MurT	CCI-CYTOSOL-GP
USA300HOU_RS01050-MONOMER	USA300HOU_RS01050	ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS06195-MONOMER	USA300HOU_RS06195	acyl carrier protein	CCI-CYTOSOL-GP
USA300HOU_RS13555-MONOMER	USA300HOU_RS13555	fibronectin-binding protein FnbA	CCI-CW-BAC-POS-GP
USA300HOU_RS06435-MONOMER	USA300HOU_RS06435	GntR family transcriptional regulator	
USA300HOU_RS06350-MONOMER	USA300HOU_RS06350	isoprenyl transferase	CCI-CYTOSOL-GP
USA300HOU_RS03320-MONOMER	USA300HOU_RS03320	ATP-binding protein	CCI-PM-BAC-POS-GP
CPLX2KSB-24	USA300HOU_RS02415 // USA300HOU_RS02470	DNA polymerase III	
USA300HOU_RS14120-MONOMER	USA300HOU_RS14120	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS11215-MONOMER	USA300HOU_RS11215	potassium-transporting ATPase subunit KdpA	CCI-PM-BAC-POS-GP
USA300HOU_RS11520-MONOMER	USA300HOU_RS11520	S-ribosylhomocysteine lyase	CCI-CYTOSOL-GP
USA300HOU_RS12350-MONOMER	USA300HOU_RS12350	GNAT family N-acetyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS00260-MONOMER	USA300HOU_RS00260	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS01815-MONOMER	USA300HOU_RS01815	GNAT family N-acetyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS01055-MONOMER	USA300HOU_RS01055	ABC transporter permease	
CPLX2KSB-89	USA300HOU_RS07645 // USA300HOU_RS07650	Panton-Valentine bi-component leukocidin	
USA300HOU_RS09695-MONOMER	USA300HOU_RS09695	lanthionine synthetase C family protein	CCI-CYTOSOL-GP
USA300HOU_RS06605-MONOMER	USA300HOU_RS06605	hypothetical protein	
USA300HOU_RS11415-MONOMER	USA300HOU_RS11415	TIGR01440 family protein	CCI-CYTOSOL-GP
USA300HOU_RS07490-MONOMER	USA300HOU_RS07490	3-phosphoshikimate 1-carboxyvinyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS07550-MONOMER	USA300HOU_RS07550	30S ribosomal protein S1	CCI-CYTOSOL-GP
USA300HOU_RS03470-MONOMER	USA300HOU_RS03470	glycerol-3-phosphate cytidylyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS14450-MONOMER	USA300HOU_RS14450	peptide-methionine (S)-S-oxide reductase	CCI-CYTOSOL-GP
USA300HOU_RS12530-MONOMER	USA300HOU_RS12530	hypothetical protein	
USA300HOU_RS15935-MONOMER	USA300HOU_RS15935	hypothetical protein	
USA300HOU_RS05655-MONOMER	USA300HOU_RS05655	iron-regulated surface determinant protein IsdD	
USA300HOU_RS12745-MONOMER	USA300HOU_RS12745	zinc ribbon domain-containing protein	
CPLX2KSB-4	USA300HOU_RS12340 // USA300HOU_RS12335	putative molybdate ABC transporter	
USA300HOU_RS08385-MONOMER	USA300HOU_RS08385	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS12125-MONOMER	USA300HOU_RS12125	50S ribosomal protein L14	CCI-CYTOSOL-GP
USA300HOU_RS13030-MONOMER	USA300HOU_RS13030	DUF4467 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS15985-MONOMER	USA300HOU_RS15985	hypothetical protein	CCI-EXTRACELLULAR-GP
CPLX2KSB-23	USA300HOU_RS15915 // USA300HOU_RS15920	galactose-6-phosphate isomerase	
USA300HOU_RS07130-MONOMER	USA300HOU_RS07130	diaminopimelate decarboxylase	CCI-CYTOSOL-GP
USA300HOU_RS14125-MONOMER	USA300HOU_RS14125	fructose bisphosphate aldolase	
USA300HOU_RS06970-MONOMER	USA300HOU_RS06970	anthranilate phosphoribosyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS05975-MONOMER	USA300HOU_RS05975	cell division protein SepF	
USA300HOU_RS10325-MONOMER	USA300HOU_RS10325	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC	CCI-CYTOSOL-GP
USA300HOU_RS01060-MONOMER	USA300HOU_RS01060	ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS13245-MONOMER	USA300HOU_RS13245	2-dehydropantoate 2-reductase	CCI-CYTOSOL-GP
USA300HOU_RS07465-MONOMER	USA300HOU_RS07465	nucleotide pyrophosphohydrolase	CCI-CYTOSOL-GP
USA300HOU_RS14455-MONOMER	USA300HOU_RS14455	GNAT family N-acetyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS06940-MONOMER	USA300HOU_RS06940	4-oxalocrotonate tautomerase	CCI-CYTOSOL-GP
USA300HOU_RS11220-MONOMER	USA300HOU_RS11220	K(+)-transporting ATPase subunit F	CCI-PM-BAC-POS-GP
USA300HOU_RS00310-MONOMER	USA300HOU_RS00310	ornithine carbamoyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS01965-MONOMER	USA300HOU_RS01965	staphylococcal enterotoxin-like toxin X	
USA300HOU_RS10450-MONOMER	USA300HOU_RS10450	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS13560-MONOMER	USA300HOU_RS13560	hypothetical protein	
USA300HOU_RS05820-MONOMER	USA300HOU_RS05820	hypothetical protein	
USA300HOU_RS03325-MONOMER	USA300HOU_RS03325	hypothetical protein	CCI-PM-BAC-POS-GP
CPLX2KSB-22	USA300HOU_RS11870 // USA300HOU_RS11875	PTS lactose/cellobiose transporter	
USA300HOU_RS14130-MONOMER	USA300HOU_RS14130	malate dehydrogenase (quinone)	CCI-CW-BAC-POS-GP
USA300HOU_RS09380-MONOMER	USA300HOU_RS09380	proline dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS12355-MONOMER	USA300HOU_RS12355	biotin transporter BioY	CCI-PM-BAC-POS-GP
USA300HOU_RS09070-MONOMER	USA300HOU_RS09070	universal stress protein	CCI-CYTOSOL-GP
USA300HOU_RS03935-MONOMER	USA300HOU_RS03935	preQ(1) synthase	CCI-CYTOSOL-GP
CPLX2KSB-88	USA300HOU_RS04690 // USA300HOU_RS04695 // USA300HOU_RS04700 // USA300HOU_RS04705 // USA300HOU_RS04710 // USA300HOU_RS04715 // USA300HOU_RS04720	Na+/H+ antiporter Mnh1	
USA300HOU_RS10465-MONOMER	USA300HOU_RS10465	DUF1700 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS06610-MONOMER	USA300HOU_RS06610	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS06915-MONOMER	USA300HOU_RS06915	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS05345-MONOMER	USA300HOU_RS05345	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	CCI-CYTOSOL-GP
USA300HOU_RS12535-MONOMER	USA300HOU_RS12535	MurR/RpiR family transcriptional regulator	CCI-PM-BAC-POS-GP
USA300HOU_RS14735-MONOMER	USA300HOU_RS14735	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS03675-MONOMER	USA300HOU_RS03675	GNAT family N-acetyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS12755-MONOMER	USA300HOU_RS12755	MarR family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS00825-MONOMER	USA300HOU_RS00825	type 8 capsular polysaccharide synthesis protein Cap8F	CCI-CYTOSOL-GP
USA300HOU_RS09630-MONOMER	USA300HOU_RS09630	serine protease SplF	CCI-EXTRACELLULAR-GP
USA300HOU_RS04585-MONOMER	USA300HOU_RS04585	YutD family protein	CCI-CYTOSOL-GP
USA300HOU_RS13570-MONOMER	USA300HOU_RS13570	gluconate:H+ symporter	CCI-PM-BAC-POS-GP
USA300HOU_RS12130-MONOMER	USA300HOU_RS12130	30S ribosomal protein S17	CCI-CYTOSOL-GP
USA300HOU_RS13035-MONOMER	USA300HOU_RS13035	FemA/FemB family glycyltransferase FmhA	CCI-CYTOSOL-GP
USA300HOU_RS02430-MONOMER	USA300HOU_RS02430	hypothetical protein	
CPLX2KSB-21	USA300HOU_RS00025 // USA300HOU_RS00030	DNA topoisomerase (ATP-hydrolyzing)	
USA300HOU_RS07135-MONOMER	USA300HOU_RS07135	sarA expression modulator MsaC	CCI-PM-BAC-POS-GP
USA300HOU_RS14135-MONOMER	USA300HOU_RS14135	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS01595-MONOMER	USA300HOU_RS01595	antitoxin YezG family protein	CCI-CYTOSOL-GP
USA300HOU_RS00270-MONOMER	USA300HOU_RS00270	GNAT family N-acetyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS00110-MONOMER	USA300HOU_RS00110	two-component system activity regulator YycH	
USA300HOU_RS14785-MONOMER	USA300HOU_RS14785	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS07470-MONOMER	USA300HOU_RS07470	zinc metallopeptidase	CCI-PM-BAC-POS-GP
USA300HOU_RS10135-MONOMER	USA300HOU_RS10135	A/G-specific adenine glycosylase	
USA300HOU_RS01065-MONOMER	USA300HOU_RS01065	ABC transporter substrate-binding protein	
USA300HOU_RS09700-MONOMER	USA300HOU_RS09700	lantibiotic dehydratase	CCI-PM-BAC-POS-GP
USA300HOU_RS05180-MONOMER	USA300HOU_RS05180	1,4-dihydroxy-2-naphthoate polyprenyltransferase	CCI-PM-BAC-POS-GP
USA300HOU_RS13250-MONOMER	USA300HOU_RS13250	MFS transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS08320-MONOMER	USA300HOU_RS08320	Nif3-like dinuclear metal center hexameric protein	
USA300HOU_RS03440-MONOMER	USA300HOU_RS03440	M50 family metallopeptidase	CCI-PM-BAC-POS-GP
USA300HOU_RS08600-MONOMER	USA300HOU_RS08600	DUF1292 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS14460-MONOMER	USA300HOU_RS14460	tyrosine-protein phosphatase	CCI-CYTOSOL-GP
USA300HOU_RS03620-MONOMER	USA300HOU_RS03620	cupin domain-containing protein	
USA300HOU_RS06945-MONOMER	USA300HOU_RS06945	Y-family DNA polymerase	CCI-CYTOSOL-GP
USA300HOU_RS06075-MONOMER	USA300HOU_RS06075	guanylate kinase	CCI-CYTOSOL-GP
USA300HOU_RS08865-MONOMER	USA300HOU_RS08865	ATP-dependent Clp protease ATP-binding subunit ClpX	CCI-CYTOSOL-GP
USA300HOU_RS06460-MONOMER	USA300HOU_RS06460	helix-turn-helix domain-containing protein	
USA300HOU_RS08730-MONOMER	USA300HOU_RS08730	Holliday junction branch migration DNA helicase RuvB	CCI-CYTOSOL-GP
USA300HOU_RS13575-MONOMER	USA300HOU_RS13575	gluconokinase	CCI-CYTOSOL-GP
USA300HOU_RS06355-MONOMER	USA300HOU_RS06355	phosphatidate cytidylyltransferase	CCI-PM-BAC-POS-GP
USA300HOU_RS08215-MONOMER	USA300HOU_RS08215	hypothetical protein	
CPLX2KSB-20	USA300HOU_RS09015 // USA300HOU_RS09020	acetyl-CoA carboxylase, carboxyltransferase	
USA300HOU_RS07860-MONOMER	USA300HOU_RS07860	PVL family protein	CCI-CYTOSOL-GP
USA300HOU_RS07140-MONOMER	USA300HOU_RS07140	cold shock protein CspA	CCI-CYTOSOL-GP
USA300HOU_RS14140-MONOMER	USA300HOU_RS14140	AMP-binding protein	CCI-CYTOSOL-GP
USA300HOU_RS12360-MONOMER	USA300HOU_RS12360	nucleoside hydrolase	CCI-CYTOSOL-GP
USA300HOU_RS03940-MONOMER	USA300HOU_RS03940	DMT family transporter	CCI-PM-BAC-POS-GP
CPLX2KSB-87	USA300HOU_RS05315 // USA300HOU_RS05325	phosphoribosylformylglycinamidine synthase	
USA300HOU_RS06615-MONOMER	USA300HOU_RS06615	hypothetical protein	
USA300HOU_RS10650-MONOMER	USA300HOU_RS10650	phage head-tail adapter protein	CCI-CYTOSOL-GP
USA300HOU_RS07970-MONOMER	USA300HOU_RS07970	DUF1672 domain-containing protein	
USA300HOU_RS06445-MONOMER	USA300HOU_RS06445	insulinase family protein	
USA300HOU_RS08965-MONOMER	USA300HOU_RS08965	ATP-binding protein	
USA300HOU_RS02170-MONOMER	USA300HOU_RS02170	type I restriction-modification system subunit M	CCI-CYTOSOL-GP
USA300HOU_RS01440-MONOMER	USA300HOU_RS01440	linear amide C-N hydrolase	
USA300HOU_RS11225-MONOMER	USA300HOU_RS11225	sensor histidine kinase KdpD	CCI-PM-BAC-POS-GP
USA300HOU_RS00275-MONOMER	USA300HOU_RS00275	zinc-dependent alcohol dehydrogenase family protein	CCI-CYTOSOL-GP
USA300HOU_RS04020-MONOMER	USA300HOU_RS04020	peptidase T	CCI-CYTOSOL-GP
USA300HOU_RS09085-MONOMER	USA300HOU_RS09085	thiol peroxidase	
USA300HOU_RS12760-MONOMER	USA300HOU_RS12760	YdcF family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS13580-MONOMER	USA300HOU_RS13580	GntR family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS13040-MONOMER	USA300HOU_RS13040	amino acid ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS04250-MONOMER	USA300HOU_RS04250	DUF5067 domain-containing protein	
USA300HOU_RS01915-MONOMER	USA300HOU_RS01915	mechanosensitive ion channel family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS04630-MONOMER	USA300HOU_RS04630	D-alanine--poly(phosphoribitol) ligase subunit 2	CCI-CYTOSOL-GP
CPLX2KSB-19	USA300HOU_RS08555 // USA300HOU_RS08560	acetyl-CoA carboxylase biotin carboxyl	
USA300HOU_RS14145-MONOMER	USA300HOU_RS14145	antibiotic biosynthesis monooxygenase	CCI-CYTOSOL-GP
USA300HOU_RS03140-MONOMER	USA300HOU_RS03140	DUF443 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS09385-MONOMER	USA300HOU_RS09385	6,7-dimethyl-8-ribityllumazine synthase	CCI-CYTOSOL-GP
USA300HOU_RS05275-MONOMER	USA300HOU_RS05275	cytochrome aa3 quinol oxidase subunit I	CCI-PM-BAC-POS-GP
USA300HOU_RS05980-MONOMER	USA300HOU_RS05980	YggT family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS09075-MONOMER	USA300HOU_RS09075	acetate kinase	CCI-CYTOSOL-GP
USA300HOU_RS09520-MONOMER	USA300HOU_RS09520	membrane protein insertion efficiency factor YidD	CCI-PM-BAC-POS-GP
USA300HOU_RS07475-MONOMER	USA300HOU_RS07475	DUF1405 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS07810-MONOMER	USA300HOU_RS07810	transcriptional activator RinB	CCI-PM-BAC-POS-GP
USA300HOU_RS08480-MONOMER	USA300HOU_RS08480	class I SAM-dependent methyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS08700-MONOMER	USA300HOU_RS08700	adenine phosphoribosyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS06620-MONOMER	USA300HOU_RS06620	hypothetical protein	
USA300HOU_RS02085-MONOMER	USA300HOU_RS02085	transposase	CCI-CYTOSOL-GP
USA300HOU_RS09880-MONOMER	USA300HOU_RS09880	GAF domain-containing sensor histidine kinase	CCI-PM-BAC-POS-GP
USA300HOU_RS13255-MONOMER	USA300HOU_RS13255	ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS03445-MONOMER	USA300HOU_RS03445	WecB/TagA/CpsF family glycosyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS06950-MONOMER	USA300HOU_RS06950	prephenate dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS14465-MONOMER	USA300HOU_RS14465	polysaccharide biosynthesis tyrosine autokinase	CCI-PM-BAC-POS-GP
USA300HOU_RS07845-MONOMER	USA300HOU_RS07845	SAV1978 family virulence-associated passenger protein	
USA300HOU_RS08885-MONOMER	USA300HOU_RS08885	NUDIX domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS08105-MONOMER	USA300HOU_RS08105	alpha-ketoacid dehydrogenase subunit beta	CCI-CYTOSOL-GP
USA300HOU_RS01070-MONOMER	USA300HOU_RS01070	gamma-glutamyltransferase	CCI-EXTRACELLULAR-GP
USA300HOU_RS11980-MONOMER	USA300HOU_RS11980	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS06205-MONOMER	USA300HOU_RS06205	chromosome segregation protein SMC	CCI-CYTOSOL-GP
USA300HOU_RS00835-MONOMER	USA300HOU_RS00835	CatB-related O-acetyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS09635-MONOMER	USA300HOU_RS09635	serine protease SplE	CCI-EXTRACELLULAR-GP
USA300HOU_RS10550-MONOMER	USA300HOU_RS10550	complement inhibitor SCIN-A	
USA300HOU_RS13585-MONOMER	USA300HOU_RS13585	MerR family transcriptional regulator	
USA300HOU_RS05825-MONOMER	USA300HOU_RS05825	alpha-hemolysin	CCI-EXTRACELLULAR-GP
USA300HOU_RS03330-MONOMER	USA300HOU_RS03330	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS14150-MONOMER	USA300HOU_RS14150	sterile alpha motif-like domain-containing protein	CCI-CYTOSOL-GP
CPLX2KSB-18	USA300HOU_RS06265 // USA300HOU_RS06270	ADP-forming succinate--CoA ligase	
USA300HOU_RS08275-MONOMER	USA300HOU_RS08275	5-formyltetrahydrofolate cyclo-ligase	CCI-PM-BAC-POS-GP
USA300HOU_RS07150-MONOMER	USA300HOU_RS07150	regulatory protein MsaA	
USA300HOU_RS11250-MONOMER	USA300HOU_RS11250	rod shape-determining protein RodA	CCI-PM-BAC-POS-GP
USA300HOU_RS11525-MONOMER	USA300HOU_RS11525	membrane protein	CCI-PM-BAC-POS-GP
USA300HOU_RS12365-MONOMER	USA300HOU_RS12365	ABC transporter substrate-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS02980-MONOMER	USA300HOU_RS02980	YojF family protein	
CPLX2KSB-86	USA300HOU_RS03380 // USA300HOU_RS03385 // USA300HOU_RS03390 // USA300HOU_RS03395 // USA300HOU_RS03400 // USA300HOU_RS03405 // USA300HOU_RS03410	Na+/H+ antiporter Mnh2	
USA300HOU_RS14470-MONOMER	USA300HOU_RS14470	Wzz/FepE/Etk N-terminal domain-containing protein	
USA300HOU_RS07750-MONOMER	USA300HOU_RS07750	phage major capsid protein	CCI-CYTOSOL-GP
USA300HOU_RS12540-MONOMER	USA300HOU_RS12540	amino acid permease	CCI-PM-BAC-POS-GP
USA300HOU_RS04940-MONOMER	USA300HOU_RS04940	tryptophan--tRNA ligase	CCI-CYTOSOL-GP
USA300HOU_RS01075-MONOMER	USA300HOU_RS01075	tandem-type lipoprotein	
USA300HOU_RS05660-MONOMER	USA300HOU_RS05660	heme ABC transporter substrate-binding protein IsdE	CCI-CYTOSOL-GP
USA300HOU_RS12770-MONOMER	USA300HOU_RS12770	ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
CPLX2KSB-2	USA300HOU_RS10495 // USA300HOU_RS10485 // USA300HOU_RS10480 // USA300HOU_RS10490	phenol-soluble modulin export ABC transporter	
USA300HOU_RS13590-MONOMER	USA300HOU_RS13590	GTP pyrophosphokinase family protein	CCI-CYTOSOL-GP
USA300HOU_RS13045-MONOMER	USA300HOU_RS13045	amino acid ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS12135-MONOMER	USA300HOU_RS12135	50S ribosomal protein L29	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
USA300HOU_RS02460-MONOMER	USA300HOU_RS02460	cyclic-di-AMP receptor	
USA300HOU_RS07480-MONOMER	USA300HOU_RS07480	YpiB family protein	CCI-CYTOSOL-GP
CPLX2KSB-17	USA300HOU_RS03520 // USA300HOU_RS03515 // USA300HOU_RS03525	dihydroxyacetone kinase	
USA300HOU_RS14155-MONOMER	USA300HOU_RS14155	choline dehydrogenase	CCI-PM-BAC-POS-GP
USA300HOU_RS02320-MONOMER	USA300HOU_RS02320	bifunctional cystathionine gamma-lyase/homocysteine desulfhydrase	CCI-CYTOSOL-GP
USA300HOU_RS08775-MONOMER	USA300HOU_RS08775	hypothetical protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS06680-MONOMER	USA300HOU_RS06680	polymorphic toxin type 50 domain-containing protein	
USA300HOU_RS09850-MONOMER	USA300HOU_RS09850	exonuclease SbcCD subunit D	CCI-CYTOSOL-GP
USA300HOU_RS13260-MONOMER	USA300HOU_RS13260	osmoprotectant ABC transporter substrate-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS03625-MONOMER	USA300HOU_RS03625	hypothetical protein	
USA300HOU_RS14475-MONOMER	USA300HOU_RS14475	ica operon transcriptional regulator IcaR	CCI-CYTOSOL-GP
USA300HOU_RS09935-MONOMER	USA300HOU_RS09935	PTS transporter subunit IIC	CCI-PM-BAC-POS-GP
